abacus	0	0	0	1	0	0
abandon	0	0	1	0	1	0
abandoned	1	0	1	0	1	0
abandonment	1	0	1	0	1	0
abbot	0	0	0	1	0	0
abduction	0	0	1	0	1	0
abhor	1	0	1	0	0	0
abhorrent	1	0	1	0	0	0
abolish	1	0	0	0	0	0
abominable	0	0	1	0	0	0
abomination	1	0	1	0	0	0
abortion	0	0	1	0	1	0
abortive	0	0	0	0	1	0
abscess	0	0	0	0	1	0
absence	0	0	1	0	1	0
absent	0	0	0	0	1	0
absentee	0	0	0	0	1	0
absolution	0	1	0	1	0	0
abundance	0	1	0	1	0	1
abundant	0	1	0	0	0	0
abuse	1	0	1	0	1	0
abysmal	0	0	0	0	1	0
abyss	0	0	1	0	1	0
academic	0	0	0	1	0	0
accelerate	0	0	0	0	0	1
accident	0	0	1	0	1	0
accidental	0	0	1	0	0	0
accolade	0	1	0	1	0	1
accompaniment	0	1	0	1	0	1
accomplish	0	1	0	0	0	0
accomplished	0	1	0	0	0	0
accord	0	0	0	1	0	0
account	0	0	0	1	0	0
accountability	0	0	0	1	0	0
accountable	0	0	0	1	0	0
accountant	0	0	0	1	0	0
accounts	0	0	0	1	0	0
accredited	0	0	0	1	0	0
accurate	0	0	0	1	0	0
accursed	1	0	1	0	1	0
accusation	1	0	0	0	0	0
accused	1	0	1	0	0	0
accuser	1	0	1	0	0	0
accusing	1	0	1	0	0	0
ache	0	0	0	0	1	0
achieve	0	1	0	1	0	0
achievement	0	1	0	1	0	1
aching	0	0	0	0	1	0
acquiring	0	0	0	0	0	1
acrobat	0	1	1	1	0	0
actionable	1	0	0	0	0	0
adder	1	0	1	0	1	0
addresses	0	0	0	0	0	1
adhering	0	0	0	1	0	0
adjudicate	0	0	1	0	0	0
administrative	0	0	0	1	0	0
admirable	0	1	0	1	0	0
admiral	0	0	0	1	0	0
admiration	0	1	0	1	0	0
admire	0	0	0	1	0	0
admissible	0	0	0	1	0	0
admonition	0	0	1	0	0	0
adorable	0	1	0	0	0	0
adoration	0	1	0	1	0	0
adore	0	1	0	1	0	1
adrift	0	0	1	0	1	1
adultery	0	0	0	0	1	0
advance	0	1	1	0	0	1
advent	0	1	0	1	0	1
adventure	0	0	0	0	0	1
adversary	1	0	0	0	0	0
adverse	1	0	1	0	1	0
adversity	1	0	1	0	1	0
advice	0	0	0	1	0	0
advisable	0	0	0	1	0	0
advise	0	0	0	1	0	0
advised	0	0	0	1	0	0
adviser	0	0	0	1	0	0
advocacy	1	1	0	1	0	1
advocate	0	0	0	1	0	0
aesthetics	0	1	0	0	0	0
affection	0	1	0	1	0	0
affirm	0	0	0	1	0	0
affirmatively	0	0	0	1	0	0
afflict	0	0	1	0	1	0
affliction	0	0	1	0	1	0
affluence	0	1	0	0	0	0
affront	1	0	1	0	1	0
afraid	0	0	1	0	0	0
aftermath	1	0	1	0	1	0
aga	0	0	1	1	0	0
aggravated	1	0	0	0	0	0
aggravating	1	0	0	0	1	0
aggravation	1	0	0	0	0	0
aggression	1	0	1	0	0	0
aggressive	1	0	1	0	0	0
aggressor	1	0	1	0	0	0
aghast	0	0	1	0	0	0
agitated	1	0	0	0	0	0
agitation	1	0	0	0	0	0
agonizing	0	0	1	0	0	0
agony	1	0	1	0	1	0
agreeable	0	0	0	1	0	0
agreed	0	0	0	1	0	0
agreeing	0	0	0	1	0	0
agreement	0	0	0	1	0	0
ail	0	0	0	0	1	0
ailing	0	0	1	0	1	0
airport	0	0	0	0	0	1
akin	0	0	0	1	0	0
alarm	0	0	1	0	0	0
alarming	0	0	1	0	0	0
alb	0	0	0	1	0	0
alcoholism	1	0	1	0	1	0
alertness	0	0	1	0	0	1
alerts	0	0	1	0	0	1
alien	0	0	1	0	0	0
alienate	1	0	0	0	0	0
alienated	0	0	0	0	1	0
alienation	1	0	1	0	1	0
alive	0	1	0	1	0	1
allegation	1	0	0	0	0	0
allegiance	0	0	0	1	0	0
alliance	0	0	0	1	0	0
allied	0	0	0	1	0	0
allure	0	1	0	0	0	1
ally	0	0	0	1	0	0
aloha	0	1	0	0	0	1
altercation	1	0	0	0	0	0
amazingly	0	1	0	0	0	0
ambassador	0	0	0	1	0	0
ambition	0	1	0	1	0	1
ambulance	0	0	1	1	0	0
ambush	1	0	1	0	0	0
amen	0	1	0	1	0	0
amicable	0	1	0	0	0	0
amnesty	0	1	0	0	0	0
amortization	0	0	0	1	0	0
amour	0	1	0	1	0	1
amuse	0	1	0	0	0	0
amused	0	1	0	0	0	0
amusement	0	1	0	0	0	0
amusing	0	1	0	0	0	0
anaconda	0	0	1	0	0	0
analyst	0	0	0	1	0	1
anarchism	1	0	1	0	0	0
anarchist	1	0	1	0	0	0
anarchy	1	0	1	0	0	0
anathema	1	0	1	0	1	0
ancestral	0	0	0	1	0	0
anchorage	0	0	0	0	1	0
angel	0	1	0	1	0	1
angelic	0	1	0	1	0	0
anger	1	0	0	0	0	0
angina	0	0	1	0	0	0
angling	0	0	0	0	0	1
angry	1	0	0	0	0	0
anguish	1	0	1	0	1	0
animated	0	1	0	0	0	0
animosity	1	0	1	0	1	0
animus	1	0	0	0	0	0
annihilate	1	0	1	0	0	0
annihilated	1	0	1	0	1	0
annihilation	1	0	1	0	1	0
announcement	0	0	0	0	0	1
annoy	1	0	0	0	0	0
annoyance	1	0	0	0	0	0
annoying	1	0	0	0	0	0
annulment	0	0	0	0	1	0
anomaly	0	0	1	0	0	0
answerable	0	0	0	1	0	0
antagonism	1	0	0	0	0	0
antagonist	1	0	0	0	0	0
antagonistic	1	0	0	0	0	0
anthrax	0	0	1	0	1	0
antichrist	1	0	1	0	0	0
anticipation	0	0	0	0	0	1
anticipatory	0	0	0	0	0	1
antidote	0	0	0	1	0	1
antifungal	0	0	0	1	0	0
antipathy	1	0	0	0	0	0
